conjunto,esquema,dobra,n_treino,n_teste,C_binaria,C_multiclasse,ridge_alpha,bin_acuracia,bin_precisao,bin_recall,bin_especificidade,bin_f1,bin_roc_auc,bin_saudaveis_no_teste,mul_acuracia_balanceada,mul_f1_macro,mul_nivel_correto,mul_erro_um_nivel,mul_erro_dois_ou_mais,reg_mae_alfa,reg_rmse_alfa,reg_r2,reg_mae_espiras,reg_vies_alfa,reg_nivel_mais_proximo_correto,conformal_meia_largura,conformal_cobertura,fora_dominio_fracao
indicadores_v1,aleatoria,a0,204,51,1.0,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.008022815249321271,0.013322886019353346,0.9984542109658748,4.813689149592762,0.0025582567147349857,1.0,,,
indicadores_v1,aleatoria,a1,204,51,10.0,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.006424002874755025,0.008852438239576264,0.999324134269576,3.854401724853015,-0.0010001227678664276,1.0,,,
indicadores_v1,aleatoria,a2,204,51,0.1,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,0.9722222222222222,0.9755799755799757,0.9803921568627451,0.0196078431372549,0.0,0.0074433359895635,0.011413236181165595,0.9988508116917607,4.4660015937381,-0.0010815058610367573,1.0,,,
indicadores_v1,aleatoria,a3,204,51,1.0,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.006299892352487541,0.008163164274572764,0.9994102681889508,3.779935411492525,0.001501573196033519,1.0,,,
indicadores_v1,aleatoria,a4,204,51,0.1,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.010822633566620995,0.014562015128185363,0.9981024725038038,6.493580139972597,-0.003248058064982244,1.0,,,
indicadores_v1,blocos,b0,190,56,1.0,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.012036340504192009,0.01819224180501506,0.9970786163151635,7.221804302515205,-0.004553203284395734,1.0,0.018736363787824978,0.7857142857142857,0.0
indicadores_v1,blocos,b1,185,52,0.1,0.01,0.1,0.9807692307692307,1.0,0.9787234042553191,1.0,0.989247311827957,1.0,5,1.0,1.0,1.0,0.0,0.0,0.006146895753776834,0.007874749116377916,0.9994668790661575,3.6881374522661003,0.003579358126181322,1.0,0.02503907478595127,1.0,0.0
indicadores_v1,blocos,b2,188,49,1.0,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.006359126305323097,0.008632724858992526,0.9993406967334053,3.8154757831938584,-0.0021458971183315593,1.0,0.025596523375068403,1.0,0.0
indicadores_v1,blocos,b3,188,49,1.0,0.01,1.0,0.9795918367346939,0.9782608695652174,1.0,0.75,0.989010989010989,1.0,4,0.9722222222222222,0.974025974025974,0.9795918367346939,0.02040816326530612,0.0,0.011795262961091471,0.01568594058351635,0.9978232399410605,7.077157776654882,0.0018368818004678988,1.0,0.02084991583299689,0.8367346938775511,0.02040816326530612
indicadores_v1,blocos,b4,197,49,1.0,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.009554458715320768,0.014633239219484897,0.9981056057208866,5.732675229192461,0.002918086790014832,1.0,0.020749267296743312,0.8775510204081632,0.22448979591836735
