conjunto,regressor,campanha_retirada,tipo,condicao,alfa_real,n_teste,alfa_previsto_medio,mae_espiras,vies_espiras,fora_dominio_fracao
ind_invariantes|pls,pls,B,interpolacao,SC160,0.26666666666666666,31,0.17153264306552488,57.08041416068507,-57.08041416068507,1.0
ind_invariantes|pls,pls,C,interpolacao,SC240,0.4,26,0.4159037988469073,9.593058657475897,9.542279308144403,1.0
ind_invariantes|pls,pls,C,interpolacao,SC320,0.5333333333333333,26,0.5048398752787485,17.09607483275087,-17.09607483275087,1.0
ind_invariantes|pls,pls,D,extrapolacao,SC400,0.6666666666666666,25,0.0,400.00000000000006,-400.00000000000006,1.0
ind_invariantes|pls,pls,D,extrapolacao,SC480,0.8,27,0.0,480.0000000000001,-480.0000000000001,1.0
ind_invariantes|pls,pls,D,extrapolacao,SC560,0.9333333333333333,32,0.0,560.0,-560.0,1.0
ind_invariantes|pls,pls,D,extrapolacao,SC600,1.0,40,0.0,600.0,-600.0,1.0
ind_invariantes|pca_ridge,pca_ridge,A,extrapolacao,Healthy,0.0,22,0.18069555421045114,108.41733252627068,108.41733252627068,1.0
ind_invariantes|pca_ridge,pca_ridge,B,interpolacao,SC80,0.13333333333333333,26,0.0,80.0,-80.0,1.0
ind_invariantes|pca_ridge,pca_ridge,B,interpolacao,SC160,0.26666666666666666,31,0.2130159826450521,32.19041041296873,-32.19041041296873,1.0
ind_invariantes|pca_ridge,pca_ridge,C,interpolacao,SC240,0.4,26,0.5177743665965694,70.66461995794162,70.66461995794162,1.0
ind_invariantes|pca_ridge,pca_ridge,C,interpolacao,SC320,0.5333333333333333,26,0.593126808515647,35.87608510938822,35.87608510938822,1.0
ind_invariantes|pca_ridge,pca_ridge,D,extrapolacao,SC400,0.6666666666666666,25,0.0,400.00000000000006,-400.00000000000006,1.0
ind_invariantes|pca_ridge,pca_ridge,D,extrapolacao,SC480,0.8,27,0.0,480.0000000000001,-480.0000000000001,1.0
ind_invariantes|pca_ridge,pca_ridge,D,extrapolacao,SC560,0.9333333333333333,32,0.0,560.0,-560.0,1.0
ind_invariantes|pca_ridge,pca_ridge,D,extrapolacao,SC600,1.0,40,0.0,600.0,-600.0,1.0
ind_invariantes|kernel_ridge,kernel_ridge,A,extrapolacao,Healthy,0.0,22,0.1394226980584183,83.65361883505099,83.65361883505099,1.0
ind_invariantes|kernel_ridge,kernel_ridge,B,interpolacao,SC80,0.13333333333333333,26,0.004762558920434334,77.14246464773939,-77.14246464773939,1.0
ind_invariantes|kernel_ridge,kernel_ridge,B,interpolacao,SC160,0.26666666666666666,31,0.19941548630109013,40.35070821934595,-40.35070821934595,1.0
ind_invariantes|kernel_ridge,kernel_ridge,C,interpolacao,SC240,0.4,26,0.3251587699689481,44.904738018631186,-44.904738018631186,1.0
ind_invariantes|kernel_ridge,kernel_ridge,C,interpolacao,SC320,0.5333333333333333,26,0.46306401134061864,42.16159319562885,-42.16159319562885,1.0
ind_invariantes|kernel_ridge,kernel_ridge,D,extrapolacao,SC400,0.6666666666666666,25,0.0,400.00000000000006,-400.00000000000006,1.0
ind_invariantes|kernel_ridge,kernel_ridge,D,extrapolacao,SC480,0.8,27,0.0,480.0000000000001,-480.0000000000001,1.0
ind_invariantes|kernel_ridge,kernel_ridge,D,extrapolacao,SC560,0.9333333333333333,32,0.0,560.0,-560.0,1.0
ind_invariantes|kernel_ridge,kernel_ridge,D,extrapolacao,SC600,1.0,40,0.0,600.0,-600.0,1.0
ind_invariantes|svr,svr,A,extrapolacao,Healthy,0.0,22,0.24451370046955623,146.70822028173373,146.70822028173373,1.0
ind_invariantes|svr,svr,B,interpolacao,SC80,0.13333333333333333,26,0.2532914832633416,71.97488995800497,71.97488995800497,1.0
ind_invariantes|svr,svr,B,interpolacao,SC160,0.26666666666666666,31,0.2889060715291448,21.69447052262715,13.343642917486886,1.0
ind_invariantes|svr,svr,C,interpolacao,SC240,0.4,26,0.4932793886343533,55.96763318061195,55.96763318061195,1.0
ind_invariantes|svr,svr,C,interpolacao,SC320,0.5333333333333333,26,0.5422734597357357,6.163745099556643,5.364075841441391,1.0
ind_invariantes|svr,svr,D,extrapolacao,SC400,0.6666666666666666,25,0.30615535866297144,216.30678480221707,-216.30678480221707,1.0
ind_invariantes|svr,svr,D,extrapolacao,SC480,0.8,27,0.30615535866297144,296.3067848022172,-296.3067848022172,1.0
ind_invariantes|svr,svr,D,extrapolacao,SC560,0.9333333333333333,32,0.30615535866297144,376.3067848022171,-376.3067848022171,1.0
ind_invariantes|svr,svr,D,extrapolacao,SC600,1.0,40,0.30615535866297144,416.3067848022171,-416.3067848022171,1.0
ind_invariantes|gp,gp,A,extrapolacao,Healthy,0.0,22,0.17257866875409067,103.5472012524544,103.5472012524544,1.0
ind_invariantes|gp,gp,B,interpolacao,SC80,0.13333333333333333,26,0.1441083531244893,11.710958121486238,6.465011874693572,1.0
ind_invariantes|gp,gp,B,interpolacao,SC160,0.26666666666666666,31,0.27616303997596064,18.781169717479465,5.697823985576397,1.0
ind_invariantes|gp,gp,C,interpolacao,SC240,0.4,26,0.4415289986092418,24.917399165545056,24.917399165545056,1.0
ind_invariantes|gp,gp,C,interpolacao,SC320,0.5333333333333333,26,0.5127848466444394,12.672907903009712,-12.329092013336364,1.0
ind_invariantes|gp,gp,D,extrapolacao,SC400,0.6666666666666666,25,0.2748091603053435,235.11450381679387,-235.11450381679387,1.0
ind_invariantes|gp,gp,D,extrapolacao,SC480,0.8,27,0.2748091603053435,315.11450381679396,-315.11450381679396,1.0
ind_invariantes|gp,gp,D,extrapolacao,SC560,0.9333333333333333,32,0.2748091603053435,395.1145038167939,-395.1145038167939,1.0
ind_invariantes|gp,gp,D,extrapolacao,SC600,1.0,40,0.2748091603053435,435.1145038167939,-435.1145038167939,1.0
mobilenet|ridge,ridge,A,extrapolacao,Healthy,0.0,22,0.3027150332927704,181.62902322682467,181.62902322682467,1.0
mobilenet|ridge,ridge,B,interpolacao,SC80,0.13333333333333333,26,0.04272406920790672,54.3655603665572,-54.3655603665572,1.0
mobilenet|ridge,ridge,B,interpolacao,SC160,0.26666666666666666,31,0.2021690011024475,38.69859645443577,-38.69859645443577,1.0
